gene_name,expression_level,tissue_type,differential_expression,pathway_enrichment,p_value,log2_fold_change
TP53,1250.5,肿瘤组织,上调,细胞凋亡调控,0.0001,3.42
EGFR,892.3,肿瘤组织,上调,EGFR信号通路,0.0002,2.85
BRCA1,456.2,乳腺组织,下调,DNA修复,0.0005,-2.31
MYC,1580.8,肿瘤组织,上调,细胞增殖,0.0001,4.12
PTEN,234.5,肿瘤组织,下调,PI3K/AKT通路,0.0003,-3.15
KRAS,678.4,肿瘤组织,上调,Ras信号通路,0.0002,2.67
CDK4,890.2,肿瘤组织,上调,细胞周期,0.0004,2.41
BCL2,567.3,肿瘤组织,下调,细胞凋亡,0.0006,-2.18
VEGFA,1234.6,血管内皮,上调,血管生成,0.0001,3.85
IL6,845.2,免疫细胞,上调,炎症反应,0.0003,2.95
HER2,712.8,乳腺组织,上调,HER2信号通路,0.0002,2.73
P53,1250.5,肿瘤组织,上调,细胞凋亡调控,0.0001,3.42
FOXO3,345.6,肿瘤组织,下调,细胞应激反应,0.0008,-2.52
NOTCH1,523.4,肿瘤组织,上调,细胞分化,0.0004,2.15
STAT3,934.7,肿瘤组织,上调,JAK-STAT通路,0.0002,2.88
